originalTransactionId,transactionId,productId,purchaseDate,expiresDate,transactionReason,priceMilli,priceDisplay,currency
260002706623732,260002899568059,169566_158677,1775284686000,1777876686000,RENEWAL,249000,249.0,TRY
380001453651787,380002367734415,169566_158677,1775292679000,1777884679000,RENEWAL,249000,249.0,TRY
480002681335413,480003147292358,169566_158677,1775311057000,1777903057000,RENEWAL,249000,249.0,TRY
250002431940257,250002753155681,169566_158677,1775311115000,1777903115000,RENEWAL,249000,249.0,TRY
180002836244678,180003373271677,169566_158677,1775311139000,1777903139000,RENEWAL,249000,249.0,TRY
540001834294850,540002503483687,169566_158677,1775311504000,1777903504000,RENEWAL,249000,249.0,TRY
460001814667730,460003116028393,169566_158677,1775311517000,1777903517000,RENEWAL,249000,249.0,TRY
720001888434436,720002469097548,169566_158677,1775311616000,1777903616000,RENEWAL,249000,249.0,TRY
170002069985477,170003505844833,169566_158677,1775311650000,1777903650000,RENEWAL,249000,249.0,TRY
730002191697172,730002438802481,169566_158677,1775311738000,1777903738000,RENEWAL,249000,249.0,TRY
550001704904553,550002887700648,169566_158677,1775311776000,1777903776000,RENEWAL,249000,249.0,TRY
600001280388986,600002550521998,169566_158677,1775311806000,1777903806000,RENEWAL,249000,249.0,TRY
550001133556825,550002887713696,169566_158677,1775312419000,1777904419000,RENEWAL,249000,249.0,TRY
150002269668674,150003031166458,169566_158677,1775312573000,1777904573000,RENEWAL,249000,249.0,TRY
540001414944540,540002503506103,169566_158677,1775312772000,1777904772000,RENEWAL,249000,249.0,TRY
590002004481406,590002571679064,169566_158677,1775312779000,1777904779000,RENEWAL,249000,249.0,TRY
730002065079104,730002438822672,169566_158677,1775312858000,1777904858000,RENEWAL,249000,249.0,TRY
330002003081023,330002874914902,169566_158677,1775312917000,1777904917000,RENEWAL,249000,249.0,TRY
460002821085449,460003116057952,169566_158677,1775312991000,1777904991000,RENEWAL,249000,249.0,TRY
350001853266255,350003226710786,169566_158677,1775313264000,1777905264000,RENEWAL,249000,249.0,TRY
410002839919988,410003138187920,169566_158677,1775313321000,1777905321000,RENEWAL,249000,249.0,TRY
70001988690680,70003438015529,169566_158677,1775313341000,1777905341000,RENEWAL,249000,249.0,TRY
590001533781334,590002571692341,169566_158677,1775313455000,1777905455000,RENEWAL,9990,9.99,EUR
520001676940661,520002743459812,169566_158677,1775313512000,1777905512000,RENEWAL,249000,249.0,TRY
520000944565098,520002743460337,169566_158677,1775313605000,1777905605000,RENEWAL,249000,249.0,TRY
140003208026130,140003549076196,169566_158677,1775313613000,1777905613000,RENEWAL,249000,249.0,TRY
250002472454403,250002753205584,169566_158677,1775313647000,1777905647000,RENEWAL,249000,249.0,TRY
360001730938960,360003030137337,169566_158677,1775313952000,1777905952000,RENEWAL,249000,249.0,TRY
180002428064830,180003373338560,169566_158677,1775313978000,1777905978000,RENEWAL,249000,249.0,TRY
540001949134086,540002503530539,169566_158677,1775314098000,1777906098000,RENEWAL,249000,249.0,TRY
300002680014409,300003041408228,169566_158677,1775314260000,1777906260000,RENEWAL,249000,249.0,TRY
470002458592217,470003156095611,169566_158677,1775314666000,1777906666000,RENEWAL,249000,249.0,TRY
480002029932516,480003147376018,169566_158677,1775314697000,1777906697000,RENEWAL,249000,249.0,TRY
