Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel,source_zip,source_csv,order_charged_date,report_target_date,export_loaded_at_utc
GPA.3320-0069-9473-81841..15,2026-06-20,1781913908,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,05100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3300-2765-5855-12508..8,2026-06-20,1781914082,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3362-6877-6249-48522..8,2026-06-20,1781914115,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3304-3821-6137-12485..25,2026-06-20,1781914760,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3371-6395-1925-46822..6,2026-06-20,1781914992,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3342-0332-4839-15025..0,2026-06-20,1781916336,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,GBP,3.74,0.75,4.49,,,,GB,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3392-0591-7621-03423..6,2026-06-20,1781916880,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3316-5620-4039-05950..0,2026-06-20,1781917031,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Gölcük,KOCAELI,41950,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3357-1075-0063-20621..12,2026-06-20,1781917115,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,43300,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
GPA.3367-0086-6281-53123,2026-06-20,1781917416,Charged,r9s,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,In-app,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-20,2026-06-20,2026-06-22T11:06:53.427039+00:00
