Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel,source_zip,source_csv,order_charged_date_parsed
GPA.3376-0677-4719-17979..8,2026-04-28,1777334645,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3394-9273-7443-83163..14,2026-04-28,1777334684,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3340-6570-4503-58876..22,2026-04-28,1777334904,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,Usak,,64100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3384-6215-1410-24407..5,2026-04-28,1777335016,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3381-1891-6616-09639..10,2026-04-28,1777335067,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3340-5555-5325-71633..14,2026-04-28,1777335285,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,06180,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3380-1850-3441-83436..5,2026-04-28,1777335293,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,ÇağlayanCerit,KAHRAMANMARAŞ,44100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3344-0097-7058-22991..7,2026-04-28,1777335388,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,01010,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3358-2580-2702-92048..15,2026-04-28,1777335552,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
GPA.3352-8247-2853-34713..9,2026-04-28,1777336046,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.50,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202604.zip,salesreport_202604.csv,2026-04-28
