Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel,source_zip,source_csv,order_charged_date,report_target_date,export_loaded_at_utc
GPA.3366-2460-3309-46102,2026-06-21,1782000261,Charged,vermeer,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Çekmeköy,İSTANBUL,34930,TR,p1m,,4992198440023195765,Yes,,,,,,In-app,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3313-0000-5343-22624..18,2026-06-21,1782000913,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,İstanbul,,34100,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3303-7774-7601-37744..4,2026-06-21,1782001694,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3388-3461-9745-20636..17,2026-06-21,1782002080,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3333-6165-5058-19851..10,2026-06-21,1782002391,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3379-5030-2430-83271..0,2026-06-21,1782002588,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3380-1503-8783-13625..11,2026-06-21,1782002863,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,EUR,4.19,0.8,4.99,,,,DE,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3350-2970-0229-90319..0,2026-06-21,1782002971,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,free-trial-7-day,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3324-1567-3261-10444..11,2026-06-21,1782003882,Charged,,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,,,,TR,p1m,,4992198440023195765,Yes,,,,,,,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
GPA.3310-3276-3218-05046,2026-06-21,1782004446,Charged,sweet,Aylık Abonelik (GAİN),com.trgain.mikrogain,Subscription,169566_158677,TRY,207.50,41.5,249.00,Türkiye,TEKIRDAĞ,59500,TR,p1m,,4992198440023195765,Yes,,,,,,In-app,sales/salesreport_202606.zip,salesreport_202606.csv,2026-06-21,2026-06-21,2026-06-22T12:24:14.946541+00:00
